epoch,training_loss,validation_loss,accuracy,f1_score
1,0.6405,0.600927,0.653153,0.65335
2,0.5686,0.608818,0.644144,0.640771
3,0.5025,0.658711,0.65991,0.659439
4,0.454,0.664069,0.657658,0.65804
5,0.3769,0.75851,0.668919,0.669065
6,0.3219,0.885941,0.664414,0.664467
7,0.2764,0.936365,0.686937,0.686007
8,0.2279,0.946904,0.666667,0.667073
9,0.2043,1.034631,0.666667,0.666667
10,0.1685,1.045069,0.673423,0.673568
