epoch,training_loss,validation_loss,accuracy,f1_score
1,0.6888,0.686588,0.54955,0.478383
2,0.6886,0.684738,0.556306,0.499997
3,0.6846,0.68213,0.565315,0.531674
4,0.6819,0.678237,0.592342,0.576833
5,0.6773,0.674587,0.587838,0.579369
6,0.6764,0.671791,0.585586,0.581089
7,0.6723,0.669803,0.59009,0.587672
8,0.6722,0.668733,0.59009,0.588453
9,0.668,0.668175,0.594595,0.593407
10,0.6673,0.667995,0.59009,0.589081
