epoch,training_loss,validation_loss,accuracy,f1_score
1,0.7209,0.691698,0.513514,0.482919
2,0.7052,0.697914,0.475225,0.450048
3,0.6974,0.691722,0.524775,0.523496
4,0.6903,0.681878,0.545045,0.522733
5,0.694,0.677194,0.563063,0.559839
6,0.6836,0.673987,0.56982,0.569713
7,0.6809,0.667168,0.565315,0.562901
8,0.675,0.66541,0.572072,0.571019
9,0.6697,0.665005,0.56982,0.569328
10,0.6702,0.66481,0.56982,0.569451
