epoch,training_loss,validation_loss,accuracy,f1_score
1,0.7102,0.68724,0.538288,0.536618
2,0.7034,0.69589,0.490991,0.419926
3,0.6972,0.693302,0.529279,0.500247
4,0.7025,0.686806,0.542793,0.529795
5,0.6949,0.687259,0.540541,0.540803
6,0.6952,0.687854,0.551802,0.551727
7,0.6935,0.685734,0.556306,0.556881
8,0.6928,0.685849,0.556306,0.55607
9,0.6919,0.683909,0.563063,0.562742
10,0.6949,0.684305,0.560811,0.561272
