epoch,training_loss,validation_loss,accuracy,f1_score
1,0.6571,0.648264,0.599099,0.596022
2,0.649,0.650178,0.599099,0.581903
3,0.6349,0.642617,0.601351,0.59211
4,0.6278,0.630283,0.623874,0.623353
5,0.6216,0.626756,0.637387,0.637444
6,0.6127,0.630869,0.628378,0.624312
7,0.6077,0.625574,0.646396,0.645547
8,0.6061,0.625194,0.644144,0.64319
9,0.6003,0.623082,0.646396,0.645907
10,0.6017,0.624045,0.644144,0.64319
