epoch,training_loss,validation_loss,accuracy,f1_score
1,0.6833,0.668819,0.585586,0.58416
2,0.6619,0.665217,0.594595,0.584261
3,0.6434,0.655647,0.585586,0.580263
4,0.6348,0.643798,0.596847,0.596681
5,0.6255,0.6401,0.596847,0.596796
6,0.618,0.644002,0.599099,0.597498
7,0.6141,0.639237,0.601351,0.601107
8,0.6105,0.641777,0.603604,0.602951
9,0.6038,0.639293,0.61036,0.6102
10,0.6042,0.640831,0.608108,0.607718
