epoch,training_loss,validation_loss,accuracy,f1_score
1,0.7438,0.78289,0.531532,0.460312
2,0.6687,0.644157,0.635135,0.635543
3,0.6015,0.622411,0.668919,0.667045
4,0.5676,0.584302,0.682432,0.682767
5,0.5232,0.570875,0.693694,0.693694
6,0.5025,0.592238,0.716216,0.716493
7,0.4657,0.621551,0.68018,0.677149
8,0.4503,0.583306,0.713964,0.71274
9,0.4314,0.59457,0.707207,0.707492
10,0.411,0.614287,0.704955,0.705217
