epoch,training_loss,validation_loss,accuracy,f1_score
1,0.5177,0.633775,0.702703,0.703065
2,0.4854,0.623043,0.677928,0.676565
3,0.4831,0.666784,0.675676,0.671622
4,0.4444,0.647159,0.68018,0.678718
5,0.4069,0.629248,0.691441,0.691766
6,0.3673,0.674328,0.691441,0.691014
7,0.3307,0.728363,0.70045,0.698523
8,0.2977,0.694826,0.716216,0.716585
9,0.2701,0.760003,0.707207,0.707207
10,0.2546,0.74305,0.704955,0.705217
