epoch,training_loss,validation_loss,accuracy,f1_score
1,0.7135,0.670299,0.585586,0.577961
2,0.6836,0.669625,0.605856,0.578531
3,0.669,0.700318,0.59009,0.565305
4,0.6394,0.621846,0.664414,0.66395
5,0.5934,0.603821,0.671171,0.663123
6,0.5735,0.607765,0.68018,0.680434
7,0.5359,0.680858,0.671171,0.665121
8,0.5072,0.622013,0.677928,0.677874
9,0.4701,0.671898,0.675676,0.675564
10,0.4593,0.657676,0.691441,0.691277
