epoch,training_loss,validation_loss,accuracy,f1_score
1,1.1408,1.035751,0.5671,0.286338
2,1.0591,1.007492,0.588745,0.309696
3,1.0181,0.986997,0.599567,0.338271
4,0.9857,0.953343,0.577922,0.358155
5,0.9462,0.942924,0.58658,0.372674
6,0.9196,0.896265,0.625541,0.389725
7,0.8901,0.902427,0.636364,0.429375
8,0.866,0.884882,0.642857,0.424231
9,0.8511,0.888517,0.651515,0.441498
10,0.8337,0.879035,0.655844,0.443207
