epoch,training_loss,validation_loss,accuracy,f1_score
1,1.1468,1.08164,0.525974,0.364078
2,1.1023,1.081695,0.525974,0.364078
3,1.1034,1.079533,0.525974,0.364078
4,1.0986,1.077887,0.525974,0.364078
5,1.0954,1.075592,0.525974,0.364078
6,1.0943,1.073365,0.52381,0.36687
7,1.0881,1.069317,0.525974,0.367884
8,1.0913,1.066207,0.525974,0.367884
9,1.0791,1.064258,0.525974,0.371577
10,1.0817,1.063173,0.52381,0.370533
