epoch,training_loss,validation_loss,accuracy,f1_score
1,1.1911,1.076961,0.528139,0.187516
2,1.1022,1.07702,0.525974,0.175366
3,1.0982,1.074802,0.525974,0.178718
4,1.0982,1.07273,0.510823,0.192761
5,1.0938,1.070838,0.515152,0.206684
6,1.0891,1.068235,0.506494,0.207645
7,1.0794,1.064482,0.510823,0.207189
8,1.0763,1.061945,0.515152,0.214152
9,1.0752,1.060265,0.519481,0.225704
10,1.0746,1.059765,0.521645,0.226506
