epoch,training_loss,validation_loss,accuracy,f1_score
1,1.0334,0.875026,0.683983,0.349923
2,0.8978,0.808561,0.703463,0.367657
3,0.8379,0.79676,0.69697,0.398728
4,0.8064,0.784724,0.688312,0.396899
5,0.7733,0.784314,0.699134,0.396427
6,0.7436,0.71534,0.731602,0.445112
7,0.7196,0.708145,0.720779,0.447578
8,0.6977,0.702341,0.731602,0.461181
9,0.6785,0.6933,0.729437,0.472406
10,0.6721,0.687857,0.731602,0.485038
