epoch,training_loss,validation_loss,accuracy,f1_score
1,0.9637,0.868897,0.632035,0.609887
2,0.8177,0.868136,0.647186,0.612915
3,0.7388,0.853108,0.668831,0.653917
4,0.6637,0.940913,0.664502,0.655545
5,0.5879,0.93739,0.670996,0.659271
6,0.5216,0.969438,0.679654,0.667054
7,0.4625,0.999635,0.662338,0.65196
8,0.409,1.056336,0.662338,0.654075
9,0.3638,1.120135,0.664502,0.657877
10,0.3376,1.127161,0.655844,0.651126
