epoch,training_loss,validation_loss,accuracy,f1_score
1,1.1206,1.055608,0.532468,0.22386
2,1.0373,1.031037,0.530303,0.245004
3,1.007,1.011253,0.554113,0.277815
4,0.9839,0.994381,0.564935,0.294596
5,0.9665,0.97997,0.569264,0.311131
6,0.9488,0.966502,0.5671,0.309303
7,0.9344,0.95731,0.560606,0.315336
8,0.9238,0.95042,0.562771,0.325474
9,0.9171,0.947784,0.571429,0.340046
10,0.9153,0.946495,0.571429,0.340046
