epoch,training_loss,validation_loss,accuracy,f1_score
1,1.1066,1.046189,0.510823,0.463441
2,0.939,1.010634,0.616883,0.573185
3,0.8765,0.9052,0.660173,0.636696
4,0.7764,1.058883,0.603896,0.587887
5,0.6894,0.981308,0.636364,0.62001
6,0.6207,0.939893,0.683983,0.667718
7,0.5295,0.969181,0.675325,0.656873
8,0.4858,1.023386,0.664502,0.648045
9,0.4292,1.072931,0.675325,0.667669
10,0.3824,1.136312,0.664502,0.655101
