epoch,training_loss,validation_loss,accuracy,f1_score
1,1.3657,1.355772,0.281385,0.124702
2,1.3382,1.301554,0.331169,0.162407
3,1.2836,1.235332,0.487013,0.254183
4,1.2299,1.17374,0.510823,0.233999
5,1.1867,1.134368,0.517316,0.229517
6,1.1633,1.114178,0.532468,0.239596
7,1.1525,1.103035,0.538961,0.247599
8,1.1355,1.096969,0.532468,0.240966
9,1.1298,1.09374,0.532468,0.240966
10,1.1342,1.092664,0.532468,0.240966
